accx,accy,accz
0.5417,-0.9074,-0.5079
0.4689,-0.8229,-0.3735
0.4172,-0.71,-0.3877
0.3551,-0.6138,-0.289
0.3311,-0.603,-0.4957
0.4718,-0.8615,-0.4482
0.4386,-1.1044,-0.4991
0.4133,-1.1923,-0.4487
0.3175,-0.993,-0.4502
0.2989,-0.7169,-0.4981
0.2251,-0.5708,-0.4477
0.1958,-0.6343,-0.5587
0.2398,-0.9104,-0.4532
0.2061,-1.0359,-0.5719
0.2329,-1.0428,-0.4209
0.1714,-0.884,-0.4644
0.1797,-0.799,-0.3319
0.0751,-0.7975,-0.2939
0.101,-0.8493,-0.3417
0.1484,-0.8014,-0.2753
0.2031,-0.7384,-0.3808
0.3155,-0.7858,-0.4473
0.3297,-0.8634,-0.4038
0.2041,-0.8801,-0.4067
0.1508,-0.9153,-0.4815
0.2559,-1.0032,-0.5093
0.3678,-1.1132,-0.5294
0.3014,-1.0696,-0.5025
0.1953,-0.9602,-0.4756
0.102,-0.7951,-0.4864
0.0375,-0.6426,-0.4443
0.1753,-0.6998,-0.502
0.2574,-0.6978,-0.3745
0.2041,-0.6798,-0.2963
0.0756,-0.7027,-0.2953
0.1983,-0.7843,-0.3857
0.2911,-0.8903,-0.4634
0.3541,-0.9587,-0.6046
0.359,-1.0384,-0.6202
0.337,-1.0442,-0.5352
0.3556,-0.9782,-0.4624
0.4299,-0.9231,-0.4336
0.4733,-0.8551,-0.417
0.382,-0.7741,-0.3476
0.2066,-0.7008,-0.3623
0.1416,-0.671,-0.4551
0.1768,-0.6489,-0.5015
0.2549,-0.6636,-0.4571
0.3673,-0.7706,-0.525
0.5061,-0.948,-0.5333
0.6136,-1.1009,-0.5763
0.6439,-1.1205,-0.5587
0.5774,-0.9343,-0.4175
0.5017,-0.7247,-0.3891
0.4342,-0.5688,-0.4043
0.3644,-0.5268,-0.436
0.3311,-0.6006,-0.4302
0.3971,-0.6646,-0.4512
0.4103,-0.7037,-0.4253
0.4079,-0.6954,-0.4541
0.5535,-0.6827,-0.5729
0.6986,-0.6695,-0.544
0.7025,-0.6548,-0.4917
0.6468,-0.5674,-0.3002
0.5671,-0.4677,-0.5157
0.4093,-0.3768,-0.3168
0.3556,-0.2879,-0.355
0.4572,-0.2581,-0.4238
0.4787,-0.37,-0.4013
0.5618,-0.4877,-0.5636
0.619,-0.5234,-0.4492
0.5803,-0.4863,-0.5396
0.5281,-0.4139,-0.5127
0.637,-0.3308,-0.5147
0.6898,-0.3851,-0.4282
0.3927,-0.3861,-0.3251
0.3526,-0.3133,-0.3633
0.4191,-0.2067,-0.3535
0.5965,-0.284,-0.4981
0.7411,-0.4794,-0.4971
0.7142,-0.6587,-0.5303
0.7035,-0.7902,-0.5562
0.6087,-0.7291,-0.4688
0.616,-0.6514,-0.5357
0.5466,-0.5757,-0.4223
0.4812,-0.5361,-0.4389
0.553,-0.5527,-0.3178
0.5168,-0.5654,-0.3422
0.5256,-0.6152,-0.3623
0.4709,-0.6392,-0.4482
0.5193,-0.6563,-0.4571
0.5432,-0.712,-0.4394
0.5853,-0.8175,-0.5484
0.4767,-0.8732,-0.4228
0.4577,-0.8659,-0.4742
0.4474,-0.8439,-0.3847
0.4206,-0.8292,-0.4888
0.4001,-0.7916,-0.3559
0.3678,-0.7115,-0.417
0.3131,-0.7222,-0.3716
0.2652,-0.7868,-0.4693
0.3077,-0.8938,-0.4693
0.4665,-1.0608,-0.4981
0.3991,-1.1132,-0.4272
0.232,-0.993,-0.5186
0.1269,-0.9709,-0.3437
0.1597,-0.9236,-0.3867
0.2031,-0.818,-0.3373
0.2202,-0.7907,-0.3554
0.2354,-0.7956,-0.3965
0.2193,-0.7369,-0.3896
0.1836,-0.6465,-0.3564
0.101,-0.6582,-0.3623
0.1459,-0.9441,-0.5079
0.2637,-1.228,-0.5861
0.252,-1.1605,-0.4927
0.2564,-0.8918,-0.3857
0.3062,-0.7481,-0.2973
0.251,-0.6866,-0.2675
0.1547,-0.7354,-0.3843
0.2056,-0.8522,-0.5503
0.2828,-0.8678,-0.5968
0.3781,-0.8668,-0.4585
0.4084,-0.8747,-0.3056
0.2442,-0.8263,-0.3432
0.0389,-0.7975,-0.4708
0.1044,-0.8678,-0.6163
0.3014,-0.9167,-0.5758
0.4934,-0.9538,-0.4722
0.5657,-0.9812,-0.3994
0.488,-0.9465,-0.4516
0.3053,-0.8649,-0.4854
0.211,-0.7907,-0.5445
0.3424,-0.7863,-0.4781
0.3185,-0.7247,-0.3168
0.2804,-0.6484,-0.3427
0.3658,-0.6641,-0.4859
0.5417,-0.775,-0.5118
